Xo (g/L);T (°C);Co(mg/L);pH;t(min);Ct(mg/L)
1;25;100;5;0;101.53
1;25;100;5;2;29.211
1;25;100;5;5;25.734
1;25;100;5;10;22.338
1;25;100;5;15;20.043
1;25;100;5;30;16.304
1;25;100;5;45;12.081
1;25;100;5;60;11.267
1;25;100;5;90;10.655
1;25;100;5;120;9.137
1;25;100;5;180;8.66
1;25;100;5;240;3.574
1;25;100;5;300;2.02
1;25;100;5;360;1.126
1;25;100;6;0;101.53
1;25;100;6;2;22.846
1;25;100;6;5;20.343
1;25;100;6;10;15.875
1;25;100;6;15;14.296
1;25;100;6;30;9.816
1;25;100;6;45;6.628
1;25;100;6;60;6.004
1;25;100;6;90;5.777
1;25;100;6;120;5.636
1;25;100;6;180;5.404
1;25;100;6;240;2.558
1;25;100;6;300;2.399
1;25;100;6;360;1.665
1;25;100;7;0;101.53
1;25;100;7;2;16.291
1;25;100;7;5;13.58
1;25;100;7;10;12.02
1;25;100;7;15;10
1;25;100;7;30;8.513
1;25;100;7;45;6.432
1;25;100;7;60;6.236
1;25;100;7;90;5.741
1;25;100;7;120;5.012
1;25;100;7;180;3.446
1;25;100;7;240;2.093
1;25;100;7;300;1.824
1;25;100;7;360;0.747
1;25;100;8;0;101.53
1;25;100;8;2;10.153
1;25;100;8;5;9.272
1;25;100;8;10;9.217
1;25;100;8;15;8.739
1;25;100;8;30;6.738
1;25;100;8;45;5.594
1;25;100;8;60;4.92
1;25;100;8;90;4.731
1;25;100;8;120;4.235
1;25;100;8;180;3.966
1;25;100;8;240;2.118
1;25;100;8;300;1.616
1;25;100;8;360;0.918
1;25;100;9;0;101.53
1;25;100;9;2;11.934
1;25;100;9;5;9.914
1;25;100;9;10;9.627
1;25;100;9;15;8.617
1;25;100;9;30;5.857
1;25;100;9;45;3.96
1;25;100;9;60;3.843
1;25;100;9;90;3.819
1;25;100;9;120;3.629
1;25;100;9;180;3.482
1;25;100;9;240;1.616
1;25;100;9;300;1.028
1;25;100;9;360;0.845
0.5;25;100;9;0;89.79277303
0.5;25;100;9;2;56.81190192
0.5;25;100;9;5;48.97981043
0.5;25;100;9;10;41.75345351
0.5;25;100;9;15;32.7789584
0.5;25;100;9;30;24.92561097
0.5;25;100;9;60;8.575982482
0.5;25;100;9;90;6.424017274
0.5;25;100;9;120;4.606800872
0.5;25;100;9;180;2.837406747
0.5;25;100;9;240;2.587672549
1;25;100;9;0;107.9914963
1;25;100;9;2;48.28374093
1;25;100;9;5;44.21891476
1;25;100;9;10;34.00106343
1;25;100;9;15;30.49415551
1;25;100;9;30;24.5749218
1;25;100;9;60;7.486715913
1;25;100;9;90;5.972369967
1;25;100;9;120;6.753453682
1;25;100;9;180;4.500531127
1;25;100;9;240;4.011689508
1.5;25;100;9;0;114.0913919
1.5;25;100;9;2;56.06269933
1.5;25;100;9;5;38.241232
1.5;25;100;9;10;33.71413255
1.5;25;100;9;15;27.18384711
1.5;25;100;9;30;20.18065923
1.5;25;100;9;60;7.433581238
1.5;25;100;9;90;6.312433943
1.5;25;100;9;120;4.760892894
1.5;25;100;9;180;3.62380484
1.5;25;100;9;240;3.347503106
2;25;100;9;0;117.3432528
2;25;100;9;2;40.8023386
2;25;100;9;5;31.37088219
2;25;100;9;10;24.34112559
2;25;100;9;15;19.6546233
2;25;100;9;30;19.59086027
2;25;100;9;60;11.37088212
2;25;100;9;90;10.15940545
2;25;100;9;120;10.0584481
2;25;100;9;180;2.970244423
2;25;100;9;240;2.709883448
3;25;100;9;0;120.5419763
3;25;100;9;2;33.32624946
3;25;100;9;5;20.51009564
3;25;100;9;10;18.25717388
3;25;100;9;15;12.28480391
3;25;100;9;30;11.66312461
3;25;100;9;60;7.422954462
3;25;100;9;90;6.38150898
3;25;100;9;120;5.488841538
3;25;100;9;180;5.414452519
3;25;100;9;240;5.132837595
1;25;100;9;0;102.2031825
1;25;100;9;2;40.77723352
1;25;100;9;5;28.56181303
1;25;100;9;10;26.2056303
1;25;100;9;15;25.7343927
1;25;100;9;30;24.33292595
1;25;100;9;45;18.22521402
1;25;100;9;60;9.06976731
1;25;100;9;90;7.368420847
1;25;100;9;120;6.107711022
1;25;100;9;180;5.05507918
1;25;100;9;240;4.82864149
1;25;100;9;300;3.11505471
1;25;100;9;360;2.992656105
1;25;200;9;0;202.0930194
1;25;200;9;2;83.95348734
1;25;200;9;5;79.7735607
1;25;200;9;10;74.06976507
1;25;200;9;15;63.87393119
1;25;200;9;30;49.12484688
1;25;200;9;45;31.97062419
1;25;200;9;60;24.27784523
1;25;200;9;90;11.52386795
1;25;200;9;120;10.38555717
1;25;200;9;180;7.625459038
1;25;200;9;240;5.966952274
1;25;200;9;300;5.850673287
1;25;200;9;360;4.596083061
1;25;300;9;0;303.5495627
1;25;300;9;2;204.6144486
1;25;300;9;5;192.2031849
1;25;300;9;10;177.72338
1;25;300;9;15;161.7870245
1;25;300;9;30;122.1542241
1;25;300;9;45;85.12852187
1;25;300;9;60;46.82986424
1;25;300;9;90;16.82986527
1;25;300;9;120;14.11260706
1;25;300;9;180;11.21175087
1;25;300;9;240;9.008568131
1;25;300;9;300;6.034271279
1;25;300;9;360;4.075887081
1;25;400;9;0;396.2913125
1;25;400;9;2;261.0403848
1;25;400;9;5;251.6891101
1;25;400;9;10;237.3317022
1;25;400;9;15;228.0905742
1;25;400;9;30;179.9265623
1;25;400;9;45;124.5532481
1;25;400;9;60;74.0269297
1;25;400;9;90;18.67809031
1;25;400;9;120;14.2594861
1;25;400;9;180;14.18604681
1;25;400;9;240;11.57894731
1;25;400;9;300;5.226438202
1;25;400;9;360;3.867807959
1;25;500;9;0;501.9828649
1;25;500;9;2;246.6707482
1;25;500;9;5;242.1175088
1;25;500;9;10;225.6793147
1;25;500;9;15;207.7111338
1;25;500;9;30;163.843325
1;25;500;9;45;118.8984088
1;25;500;9;60;61.06486966
1;25;500;9;90;17.18482206
1;25;500;9;120;14.79804178
1;25;500;9;180;11.77478541
1;25;500;9;240;7.013463606
1;25;500;9;300;4.653610764
1;25;500;9;360;3.574051141
1;35;100;9;0;96.9288012
1;35;100;9;2;25.46758786
1;35;100;9;5;15.68012751
1;35;100;9;10;15.65356037
1;35;100;9;15;12.80552586
1;35;100;9;30;11.6737508
1;35;100;9;45;10.83421843
1;35;100;9;60;9.760892417
1;35;100;9;90;7.385759952
1;35;100;9;120;2.826780168
1;35;100;9;150;2.800212633
1;35;100;9;180;2.545164849
1;35;100;9;240;2.072263592
1;35;100;9;300;1.620616483
1;35;200;9;0;198.698194
1;35;200;9;2;48.94792654
1;35;200;9;5;43.35812884
1;35;200;9;10;29.34644028
1;35;200;9;15;23.506907
1;35;200;9;30;9.936238189
1;35;200;9;45;9.590860626
1;35;200;9;60;7.821466699
1;35;200;9;90;6.849096453
1;35;200;9;120;3.55472901
1;35;200;9;150;2.353878714
1;35;200;9;180;2.306057625
1;35;200;9;240;1.68437833
1;35;200;9;300;1.206163685
1;35;300;9;0;306.3974429
1;35;300;9;2;93.67694083
1;35;300;9;5;89.31987296
1;35;300;9;10;78.26780047
1;35;300;9;15;59.02231698
1;35;300;9;30;32.17853305
1;35;300;9;45;20.76514382
1;35;300;9;60;16.48246537
1;35;300;9;90;14.01700407
1;35;300;9;120;6.153028732
1;35;300;9;150;4.941552054
1;35;300;9;180;0.200318816
1;35;300;9;240;0.168437833
1;35;300;9;300;0.085015935
1;35;400;9;0;404.9627992
1;35;400;9;2;161.1264603
1;35;400;9;5;158.3421949
1;35;400;9;10;135.9298572
1;35;400;9;15;130.7651464
1;35;400;9;30;39.58554675
1;35;400;9;45;26.06801301
1;35;400;9;60;24.30393247
1;35;400;9;90;22.40169908
1;35;400;9;120;20.76514342
1;35;400;9;150;7.2263579
1;35;400;9;180;0.236450569
1;35;400;9;240;0.196599365
1;35;400;9;300;0.134431475
1;35;500;9;0;507.9171051
1;35;500;9;2;192.1572769
1;35;500;9;5;189.1817256
1;35;500;9;10;170.6907559
1;35;500;9;15;141.8172173
1;35;500;9;30;42.02975524
1;35;500;9;45;27.20510057
1;35;500;9;60;20.14877771
1;35;500;9;90;18.18278367
1;35;500;9;120;9.287990764
1;35;500;9;150;6.92879886
1;35;500;9;180;3.065887287
1;35;500;9;240;1.381509061
1;35;500;9;300;1.243357997
1;45;100;9;0;97.47996469
1;45;100;9;2;23.09884229
1;45;100;9;5;21.12644671
1;45;100;9;10;20.80587735
1;45;100;9;15;19.96438104
1;45;100;9;30;11.82546698
1;45;100;9;60;1.122885195
1;45;100;9;90;0.866874489
1;45;100;9;120;0.780053397
1;45;100;9;180;0.459483509
1;45;200;9;0;195.2715947
1;45;200;9;2;50.4674992
1;45;200;9;5;40.56990246
1;45;200;9;10;28.57524527
1;45;200;9;15;16.27337469
1;45;200;9;30;5.396260305
1;45;200;9;60;2.290293888
1;45;200;9;90;0.944345483
1;45;200;9;120;1.123775633
1;45;200;9;180;0.849955451
1;45;300;9;0;293.1611727
1;45;300;9;2;151.5138022
1;45;300;9;5;108.2902919
1;45;300;9;10;80.6767603
1;45;300;9;15;50.06233391
1;45;300;9;30;11.00623318
1;45;300;9;60;3.078361481
1;45;300;9;90;0.869991094
1;45;300;9;120;1.154942189
1;45;300;9;180;0.942119381
1;45;400;9;0;403.944807
1;45;400;9;2;246.6340205
1;45;400;9;5;195.6188774
1;45;400;9;10;160.3116654
1;45;400;9;15;98.0142494
1;45;400;9;30;20.6945678
1;45;400;9;60;4.18833483
1;45;400;9;90;1.49732857
1;45;400;9;120;1.585485326
1;45;400;9;180;1.226179866
1;45;500;9;0;505.3339252
1;45;500;9;2;353.9269815
1;45;500;9;5;285.7168272
1;45;500;9;10;226.2065839
1;45;500;9;15;142.484419
1;45;500;9;30;28.29919827
1;45;500;9;60;5.1255566
1;45;500;9;90;1.775155761
1;45;500;9;120;2.008014336
1;45;500;9;180;1.390471935
